overdue_ratio,avg_delay_days,pending_ratio,payment_frequency,neighbor_avg_risk,centrality_score,stress_velocity,contagion_score,is_stressed
0.207743,5.1958,0.099384,11,23.5013,0.44386,0.10835900000000001,10.431287017999999,0
0.340009,15.8162,0.975173,4,57.034,0.56805,-0.635164,32.398163700000005,1
0.30916,6.2059,0.071265,9,17.6186,0.308713,0.237895,5.4390908618000005,0
0.003017,2.9474,0.288215,13,8.5764,0.292345,-0.285198,2.507267658,0
0.024473,7.7798,0.18506,8,24.6214,0.454169,-0.160587,11.182276616600001,0
0.448119,26.9461,0.302276,9,42.1748,0.437723,0.145843,18.460879980399998,0
0.537705,39.8891,0.517249,0,84.8342,0.501107,0.02045600000000003,42.511011459399995,0
0.061779,3.0401,0.032502,9,14.8886,0.176437,0.029276999999999997,2.6268999182000004,0
0.415749,17.9894,0.394568,4,47.7769,0.257853,0.021181000000000005,12.3194169957,1
0.300212,10.6976,0.267718,8,31.4607,0.09505,0.03249399999999997,2.990339535,0
0.095601,4.473,0.177179,13,24.4638,0.68395,-0.081578,16.73201601,1
0.192723,1.6574,0.06141,14,30.3132,0.591959,0.131313,17.9441715588,0
0.014692,1.3536,0.436008,12,31.1659,0.207182,-0.421316,6.4570134938,0
0.013042,0.9388,0.242732,9,22.3601,0.160091,-0.22969,3.5796507691,0
0.133263,4.3837,0.740977,6,47.1346,0.326557,-0.607714,15.392133572199999,1
0.228304,15.483,0.232574,7,29.6332,0.354914,-0.004269999999999996,10.5172375448,1
0.331476,23.0503,0.631608,9,28.9128,0.07078,-0.30013199999999995,2.046447984,0
0.338914,10.3815,0.39225,11,38.4026,0.184278,-0.053335999999999995,7.076754322799999,1
0.02785,2.9295,0.299476,13,21.2523,0.027658,-0.27162600000000003,0.5877961134,0
0.103953,3.8081,0.01725,10,21.7862,0.456796,0.086703,9.9518490152,0
0.206038,3.2823,0.100461,11,9.5428,0.247755,0.105577,2.364276414,0
0.093711,2.9105,0.273871,8,27.842,0.285266,-0.18016,7.942375972,0
0.0075,3.7494,0.165136,12,19.3988,0.147183,-0.157636,2.8551735804000002,0
0.29631,5.3473,0.23215,14,32.6857,0.667921,0.06416000000000002,21.831465429699996,0
0.042754,5.8656,0.063867,14,33.6334,0.159478,-0.021112999999999993,5.3637873652,0
0.0,0.8196,0.0,8,23.3107,0.319848,0.0,7.455880773600001,1
